id  , designation                 , appmag   , absmag                , b-v; interpret as bprp, ra                   , dec                  , ly                , parallax           , parsec                , from earth X         , from earth Y        , from earth Z          , galactic l            , galactic b
2999, Gaia DR3 2988831083742776192, 5.2626987, 0.08696128513982071   , -0.14389324           ,  79.99587230787753   , -12.31555277         , 353.64934270032654, 9.222581823837187  ,   108.4295069538278   , 18.402813145892676   , 104.3235904196648   , -23.1275361532        , 213.900382410607      , -26.03632975851176
3000, Gaia DR3 1274795260380782080, 5.262741 , 0.892885930492282     , 0.08568668            , 228.62114098454632   , 29.16442376226227    , 244.003685537445  , 13.366847278622267 ,    74.81195671318173  , -43.18387153250583   , -49.01893698082424  , 36.457179320251726    ,  45.29641183407757    , 58.745249099726585
3001, Gaia DR3 4092465639688204416, 5.2629404, -1.4171322700991293   , 3.1520722             , 278.84894953735846   , -19.26859584         , 707.0333610650032 , 4.6130213644899545 ,   216.77766500233116  , 31.47889106258089    , -202.1985111422897  , -71.53598781854086    ,  13.794188962761961   , -4.982740075295207
3002, Gaia DR3 2383582677481188864, 5.2632174, -1.2483893601547251   , 1.4469528             , 345.0242987642559    , -25.16453425         , 654.2545088358412 , 4.985154792136644  ,   200.59557660623787  , 175.39064061180574   , -46.91606715642609  , -85.2970760480285     ,  30.700210382282496   , -64.73543473175215
3003, Gaia DR3 5220075664986561024, 5.2634916, -0.1071065039566319   , 0.0467968             , 125.51809024751444   , -73.39984639         , 386.8521305641618 , 8.431025041127569  ,   118.60953977978693  , -19.686218161803808  , 27.580635976986297  , -113.66610867080695   , 286.59287922412074    , -19.765834092986957
3004, Gaia DR3 3101342493713377152, 5.264415 , -3.235467489149716    , 1.3810987             , 106.02184264041104   , -5.323984651         , 1634.5637756770993, 1.995370293        ,   501.1601122398789   , -137.72536293150358  , 479.61527028876066  , -46.501344190385545   , 218.94948323487384    , 0.14225348458333098
3005, Gaia DR3 3758364188096835712, 5.2645917, 0.3418571908881338    , 1.0977287             , 165.8116239885699    , -11.30394297         , 314.75473642115037, 10.362226910657014 ,    96.50435264755221  , -91.74553272681919   , 23.195384969922355  , -18.91616823493513    , 264.6005805013169     , 43.407281851650325
3006, Gaia DR3 2946055236704251520, 5.265003 , -4.106628450580303    , 1.615253              , 102.59065682091439   , -17.08456321         , 2442.0337532633107, 1.3355916950949382 ,   748.7318195168297   , -156.0094592719826   , 698.4812029305773   , -219.96453197572507   , 227.9813012147989     , -8.136479814902055
3007, Gaia DR3 1109935826938573056, 5.265241 , -0.7184365577066218   , 1.4756446             , 105.3394229423626    , 70.80822542420366    , 513.0514079884625 , 6.3571797079511105 ,   157.3024589424884   , -13.679245054581147  , 49.868061817818024  , 148.56015029147034    , 144.3639629614496     , 26.10600327952557
3008, Gaia DR3 4282868549224887552, 5.2655454, 0.6190055320660797    , 1.2202516             , 283.8644586          , 6.614910183489206    , 277.1617825725931 , 11.767711874726977 ,    84.97828725290753  , 20.227433962840518   , -81.95323767950133  , 9.789129356779249     ,  39.12821306766557    , 2.359344386349178
3009, Gaia DR3 3650474437822499456, 5.2657595, -1.7323516205930174   , 2.0974345             , 221.29853452087985   , -1.417542081         , 818.5544924607168 , 3.9845361915920643 ,   250.9702389226986   , -188.49147258414538  , -165.58526295027892 , -6.208565185594139    , 351.06926517025744    , 50.72573775581164
3010, Gaia DR3 6322837620931216896, 5.266178 , 0.4149774790384857    , 1.1716485             , 230.28146727131318   , -5.824899478         , 304.554819474241  , 10.709270684438668 ,    93.37704027344002  , -59.36139207622664   , -71.45410253787438  , -9.476708896398069    , 356.0290171981877     , 41.34365953496772
3011, Gaia DR3 1963756118296155776, 5.2664814, -2.7774872884946795   , -0.1918354            , 321.8390369575413    , 37.11680489358955    , 1325.0098596659318, 2.461536400055409  ,   406.25034022551534  , 254.71229977655776   , -200.1579592683903  , 245.14847463812075    ,  83.74177962875162    , -9.799108183253939
3012, Gaia DR3 6870038822635780864, 5.266877 , -0.3447699145162      , 1.3894396             , 294.2639734629757    , -18.23112027         , 432.269660673135  , 7.5451975855096185 ,   132.5346339399352   , 51.729975535407014   , -114.76153945964896 , -41.46357299546492    ,  21.051699859563126   , -17.775946592181707
3013, Gaia DR3 143119137916819456 , 5.2669635, 1.3680637319564966    , 0.57826185            ,  43.42786006164385   , 38.337105170901495   , 196.42887343219786, 16.60427992591326  ,    60.2254361201995   , 34.30710421640664    , 32.4742299575599    , 37.35706285050208     , 147.60264122611304    , -18.772174346490935
3014, Gaia DR3 5968468321845736192, 5.2670107, -5.328532438840318    , 0.6807494             , 249.09399140903668   , -42.85887639         , 4290.757793893852 , 0.7601361243558197 ,  1315.5538435269787   , -344.1119579952687   , -900.8566543892111  , -894.8330368431566    , 340.3692645003204     , 3.2603030251905856
3015, Gaia DR3 483958671558728576 , 5.2671757, -3.6282795396614853   , 2.8576117             ,  72.80558007151767   , 68.16877633684513    , 1961.175323931236 , 1.663063959759652  ,   601.2997841312857   , 66.10176784290314    , 213.61395401035784  , 558.1765539114255     , 142.28758150065497    , 14.722552510390168
