# |dist(asec)|typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |      coord2 (FK5,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |    spec. type    |#bib|#not
148|      0.05|HIP91971   |* zet Lyr                          |** |18 44 46.36 +37 36 18.4                |281.19317 +37.60512                |     ~   |     ~   |     ~   |     ~   |     ~   |~                 |  15|   0
149|      0.00|HIP91926   |* eps02 Lyr                        |** |18 44 22.78056 +39 36 45.7851          |281.09492421 +39.61272399          |     ~   |     ~   |     ~   |     ~   |     ~   |A6Vn+A7Vn         |  50|   0
150|      0.02|HIP91926   |* eps02 Lyr A                      |** |18 44 22.7790116856 +39 36 45.772569396|281.0949177371963 +39.6127205135049|     ~   |5.40     |5.23     |     ~   |     ~   |A6Vn              |  71|   0
151|      0.00|HIP92791   |* del02 Lyr                        |LP*|18 54 30.2826884969 +36 53 55.031674618|283.6261833631729 +36.8986258773157|7.62     |5.97     |4.30     |2.52     |0.89     |M4II              | 244|   0
152|      0.00|HIP92833   |HD 175635                          |SB*|18 54 52.5101224944 +33 58 06.856798764|283.7187977669656 +33.9685773025477|     ~   |6.989    |6.030    |     ~   |     ~   |G5III+A8          |  54|   0
153|      1.84|HIP92833   |HD 175635B                         |*  |18 54 52.6274321208 +33 58 05.741220252|283.7192865571190 +33.9682674196375|     ~   |9.26     |9.10     |     ~   |     ~   |A8                |   0|   0
154|      0.00|HIP93017   |HD 176051                          |SB*|18 57 01.60985 +32 54 04.5723          |284.25671337 +32.90127605          |5.85     |5.82     |     ~   |4.9      |     ~   |F9V+K1V           | 267|   1
155|      0.00|HIP93017   |HD 176051b                         |Pl |18 57 01.60985 +32 54 04.5723          |284.25671337 +32.90127606          |     ~   |     ~   |     ~   |     ~   |     ~   |~                 |   8|   1
156|      0.38|HIP93017   |HD 176051A                         |PM*|18 57 01.6366461792 +32 54 04.748586012|284.2568250159039 +32.9013250317136|     ~   |5.83     |5.277    |     ~   |     ~   |F9V               |  35|   0
157|      1.03|HIP93017   |HD 176051B                         |PM*|18 57 01.5359159149 +32 54 05.017085565|284.2564053064390 +32.9013996149148|     ~   |8.894    |7.84     |     ~   |     ~   |K1V               |  18|   0
158|      0.00|HIP93194   |* gam Lyr                          |*  |18 58 56.6225626515 +32 41 22.400666366|284.7359330390131 +32.6895617295946|3.140    |3.200    |3.250    |3.27     |3.28     |B9.5II-III        | 294|   0
159|      0.00|HIP93279   |* lam Lyr                          |V* |19 00 00.8256630552 +32 08 43.847562840|285.0034459887793 +32.1455192056211|     ~   |6.401    |4.930    |     ~   |     ~   |K2.5III:Ba0.5     | 120|   0
160|      0.00|HIP92405   |* nu. Lyr                          |*  |18 49 52.9173189144 +32 33 03.817037196|282.4704943763837 +32.5510662313131|     ~   |5.316    |5.226    |     ~   |     ~   |A3V               |  69|   0
161|      0.00|HIP92420   |* bet Lyr                          |SB*|18 50 04.7951442356 +33 21 45.600371200|282.5199852929596 +33.3626727140795|2.85     |3.42     |3.42     |3.31     |3.29     |B8.5Ib-II         | 940|   0
162|      0.00|HIP91852   |HD 173416b                         |Pl |18 43 36.1092769368 +36 33 23.782819428|280.9004606162709 +36.5566122447824|     ~   |     ~   |     ~   |     ~   |     ~   |~                 |  13|   1
163|      0.00|HIP91852   |HD 173416                          |PM*|18 43 36.1092769368 +36 33 23.782819428|280.9004606162709 +36.5566122447824|     ~   |7.093    |6.037    |     ~   |     ~   |G8                |  48|   1
164|      0.00|HIP33152   |* omi01 CMa                        |s*r|06 54 07.9522701192 -24 11 03.159501504|103.5331402971817 -24.1842169384571|7.59     |5.60     |3.87     |2.70     |1.88     |K2Iab             | 181|   0
165|      0.00|HIP33478   |HD 51733                           |** |06 57 33.9161719752 -24 37 50.969087416|104.3913232516668 -24.6308307290870|     ~   |5.83     |5.47     |     ~   |     ~   |F3V               |  55|   0
166|      0.00|HIP33575   |HD 52018                           |Pu*|06 58 35.8988362752 -25 24 50.953342860|104.6495843478421 -25.4141596937154|     ~   |5.420    |5.583    |     ~   |     ~   |B2V               |  57|   0
167|      0.00|HIP33804   |V* LS CMa                          |EB*|07 01 05.9462635320 -25 12 56.281710060|105.2747819966477 -25.2156398067898|     ~   |5.471    |5.635    |     ~   |     ~   |B2/3III/IV        |  59|   0
168|      0.00|HIP34041   |HD 53344                           |*  |07 03 42.9118301472 -25 05 02.105176668|105.9288052257135 -25.0839241138904|5.91     |6.681    |6.848    |     ~   |     ~   |B2/3V             |  40|   0
169|      0.00|HIP34318   |HD 54173                           |*  |07 06 52.4727896616 -24 57 38.087174592|106.7186425980172 -24.9605857920041|     ~   |7.428    |6.088    |     ~   |     ~   |K2III             |  20|   0
170|      0.00|HIP34579   |HD 54912                           |** |07 09 43.0236591312 -25 13 51.720958452|107.4292712512465 -25.2310396306942|4.75     |5.53     |5.69     |     ~   |     ~   |B2V               |  57|   0
171|      0.00|HIP34798   |* 26 CMa                           |Pu*|07 12 12.2147085456 -25 56 33.316082736|108.0509006441194 -25.9425938397312|5.03     |5.736    |5.897    |     ~   |     ~   |B2IV/V            |  89|   0
172|      0.00|HIP34981   |* 27 CMa                           |Be*|07 14 15.2117197408 -26 21 09.028965559|108.5633882114065 -26.3525140908946|3.76     |4.45     |4.65     |4.64     |4.73     |B4Ve_sh           | 238|   0
173|      0.00|HIP35037   |* ome CMa                          |Be*|07 14 48.6540133346 -26 46 21.603204215|108.7027311029649 -26.7726736031623|2.90     |3.64     |3.82     |3.80     |3.90     |B2.5Ve            | 365|   0
174|      0.00|HIP35044   |HD 56160                           |PM*|07 14 51.1612101384 -27 02 16.782659232|108.7131777532559 -27.0380012296692|     ~   |6.823    |5.582    |     ~   |     ~   |K5III             |  36|   0
175|      0.00|HIP34924   |HD 55857                           |Pu*|07 13 36.4494556488 -27 21 22.891993452|108.4018787548641 -27.3563649301578|4.85     |5.876    |6.101    |7.29     |     ~   |B2II              | 114|   0
176|      0.00|HIP34814   |V* HN CMa                          |dS*|07 12 24.1755366696 -27 28 29.120142828|108.1007374075587 -27.4747616347995|     ~   |6.763    |6.590    |     ~   |     ~   |A5IV/V            |  51|   0
177|      0.00|HIP34624   |HD 55070                           |*  |07 10 19.3207717608 -27 29 29.468963904|107.5805091916628 -27.4915251897387|     ~   |6.441    |5.448    |     ~   |     ~   |G9III             |  27|   0
178|      0.00|HIP34331   |HD 54224                           |*  |07 06 59.9877926760 -26 39 24.328389924|106.7499550818807 -26.6567639078272|5.63     |6.417    |6.591    |     ~   |     ~   |B3III             |  62|   0
179|      0.00|HIP33817   |HD 52698                           |SB*|07 01 13.7314874136 -25 56 55.491750492|105.3072204156923 -25.9487537074649|8.203    |7.58     |6.688    |     ~   |     ~   |K1V               |  91|   0
180|      0.00|HIP33611   |HD 52138                           |*  |06 59 00.5947992456 -26 28 27.927668784|104.7524841749323 -26.4744303416772|     ~   |7.000    |7.178    |     ~   |     ~   |B2V               |  24|   0
181|      0.00|HIP33532   |HD 51925                           |** |06 58 07.5533495 -27 09 51.781515      |104.5314781068 -27.1643897394      |5.32     |6.181    |6.361    |     ~   |     ~   |B2V               |  51|   0
182|      0.00|HIP33492   |HD 51823                           |*  |06 57 42.6355923552 -27 32 15.039088116|104.4276541042908 -27.5375168410728|5.41     |6.09     |6.23     |     ~   |     ~   |B2/3V             |  49|   0
183|      0.00|HIP33040   |V* KX CMa                          |LP*|06 53 00.2995535568 -26 57 27.477892368|103.2512538939812 -26.9576387078980|     ~   |7.84     |6.44     |     ~   |     ~   |M6III             |  32|   0
184|      0.00|HIP33856   |* sig CMa                          |s*r|07 01 43.1480404483 -27 56 05.389225598|105.4297893507755 -27.9348363415189|7.08     |5.20     |3.47     |2.15     |1.15     |K5Ib              | 180|   0
185|      0.00|HIP33760   |HD 52619                           |*  |07 00 42.5122832016 -28 29 22.466486652|105.1771403358469 -28.4895800208272|     ~   |6.721    |6.279    |     ~   |     ~   |F3/5V             |  37|   0
186|      0.00|HIP2021    |* bet Hyi                          |PM*|00 25 45.07036 -77 15 15.2860          |006.43777398 -77.25424423          |3.52     |3.41     |2.79     |2.28     |1.94     |G0V               | 614|   0
187|      0.00|HIP15371   |* zet02 Ret                        |** |03 18 12.8188824117 -62 30 22.904711032|049.5534077841554 -62.5063649865634|     ~   |5.814    |5.228    |     ~   |     ~   |G1V               | 378|   0
188|      0.00|HIP16245   |* kap Ret                          |PM*|03 29 22.6774206459 -62 56 15.104181615|052.3444850868308 -62.9375317714180|     ~   |5.09     |4.70     |     ~   |     ~   |F3IV/V            | 175|   0
189|      0.00|HIP17440   |* bet Ret                          |SB*|03 44 11.9814420749 -64 48 24.890875477|056.0499180165091 -64.8069173058152|     ~   |4.968    |3.833    |     ~   |     ~   |K2-IIIb           | 117|   0
190|      0.00|HIP24372   |* tet Dor                          |Er*|05 13 45.4557074664 -67 11 06.929786400|078.4393966216743 -67.1852631830600|7.48     |6.097    |4.801    |     ~   |     ~   |K2+III            |  71|   0
191|      0.00|HIP34481   |* gam02 Vol                        |PM*|07 08 44.8656955896 -70 29 56.149447560|107.1869445526539 -70.4989364299728|     ~   |4.774    |3.746    |     ~   |     ~   |K0III             |  79|   0
192|      0.00|HIP33682   |HD 53501                           |PM*|06 59 50.5350748656 -67 54 59.200292484|104.9605666711594 -67.9164505186532|     ~   |6.57     |5.17     |     ~   |     ~   |K3III             |  50|   0
193|      0.00|HIP35228   |* del Vol                          |*  |07 16 49.8219490140 -67 57 25.749643138|109.2075964113486 -67.9571587303294|5.23     |4.78     |3.99     |3.33     |2.95     |F8Ib/II           |  93|   0
194|      0.00|HIP37331   |HD 62920                           |PM*|07 39 48.3584974512 -72 34 54.902276472|114.9515002281500 -72.5819233772092|     ~   |10.018   |9.025    |     ~   |     ~   |K0III             |  16|   0
195|      0.00|HIP26069   |* bet Dor                          |cC*|05 33 37.5159729864 -62 29 23.376457680|083.4063168748158 -62.4898319947553|5.13     |4.58     |3.76     |3.55     |3.12     |F8/G0Ib           | 389|   0
196|      0.00|HIP17678   |* gam Hyi                          |PM*|03 47 14.3406632728 -74 14 20.266351287|056.8097409081126 -74.2389661175615|6.87     |4.88     |3.26     |1.92     |0.82     |M1III             |  92|   0
197|      0.00|HIP101589  |* zet Del                          |*  |20 35 18.5362051999 +14 40 27.173946047|308.8272409413328 +14.6742208762245|     ~   |4.738    |4.647    |     ~   |     ~   |A3Va              |  83|   0
198|      0.00|HIP102080  |* 10 Del                           |V* |20 41 16.2079342944 +14 34 58.360616292|310.3175398497413 +14.5828837992673|     ~   |7.247    |5.998    |     ~   |     ~   |K4III:            |  30|   0
